lemma_,count,pos,lemma,freq,number_of_meanings,pos_fr,etymology,age
lyncher@VERB,278,VERB,lyncher,5.294688970438568e-07,1.0,verbe,1835.0,185.0
domesticité@NOUN,224,NOUN,domesticité,4.2662242063965443e-07,3.0,substantif,1583.0,437.0
iroquois@NOUN,1190,NOUN,iroquois,2.2664316096481642e-06,2.0,substantif,1644.0,376.0
galactique@ADJ,1681,ADJ,galactique,3.201572719175264e-06,1.0,adjectif,1782.0,238.0
égocentrique@ADJ,323,ADJ,égocentrique,6.151742940473589e-07,3.0,adjectif,1880.0,140.0
intercepte@VERB,132,VERB,intercepte,2.5140249787693924e-07,1.0,verbe,1528.0,492.0
biscuiterie@NOUN,367,NOUN,biscuiterie,6.989751266730053e-07,1.0,substantif,1930.0,90.0
gaullien@ADJ,127,ADJ,gaullien,2.4187967598766125e-07,3.0,adjectif,1947.0,73.0
mélanésien@ADJ,365,ADJ,mélanésien,6.95165997917294e-07,1.0,adjectif,1876.0,144.0
gaulliste@ADJ,700,ADJ,gaulliste,1.3331950644989203e-06,2.0,adjectif,1941.0,79.0
mélanésien@NOUN,324,NOUN,mélanésien,6.170788584252145e-07,1.0,substantif,1876.0,144.0
multiracial@ADJ,364,ADJ,multiracial,6.932614335394385e-07,1.0,adjectif,1959.0,61.0
populisme@NOUN,466,NOUN,populisme,8.875270000807097e-07,2.0,substantif,1912.0,108.0
déphasage@NOUN,296,NOUN,déphasage,5.637510558452577e-07,2.0,substantif,1931.0,89.0
déflexion@NOUN,142,NOUN,déflexion,2.7044814165549526e-07,1.0,substantif,1550.0,470.0
livrable@ADJ,148,ADJ,livrable,2.8187552792262884e-07,3.0,adjectif,1792.0,228.0
pyrénéen@NOUN,114,NOUN,pyrénéen,2.1712033907553844e-07,1.0,substantif,1819.0,201.0
nostalgique@ADJ,948,ADJ,nostalgique,1.805527030207109e-06,1.0,adjectif,1800.0,220.0
scalaire@ADJ,976,ADJ,scalaire,1.858854832787066e-06,6.0,adjectif,1656.0,364.0
anthère@NOUN,444,NOUN,anthère,8.456265837678865e-07,1.0,substantif,1611.0,409.0
sardane@NOUN,107,NOUN,sardane,2.0378838843054923e-07,1.0,substantif,1552.0,468.0
berceuse@NOUN,415,NOUN,berceuse,7.903942168100741e-07,5.0,substantif,1835.0,185.0
dictatorial@ADJ,951,ADJ,dictatorial,1.811240723340676e-06,1.0,adjectif,1790.0,230.0
muséographie@NOUN,296,NOUN,muséographie,5.637510558452577e-07,1.0,substantif,1824.0,196.0
gaullisme@NOUN,337,NOUN,gaullisme,6.418381953373373e-07,1.0,substantif,1941.0,79.0
consultant@ADJ,184,ADJ,consultant,3.5043984552543045e-07,3.0,adjectif,1584.0,436.0
tarot@NOUN,783,NOUN,tarot,1.491273907860935e-06,2.0,substantif,1534.0,486.0
chthonien@ADJ,101,ADJ,chthonien,1.9236100216341562e-07,1.0,adjectif,1819.0,201.0
oflag@NOUN,267,NOUN,oflag,5.085186888874453e-07,1.0,substantif,1941.0,79.0
argonaute@NOUN,511,NOUN,argonaute,9.732323970842118e-07,1.0,substantif,1550.0,470.0
thallium@NOUN,108,NOUN,thallium,2.0569295280840483e-07,1.0,substantif,1861.0,159.0
ruthénium@NOUN,169,NOUN,ruthénium,3.2187137985759644e-07,1.0,substantif,1844.0,176.0
esquiver@VERB,482,VERB,esquiver,9.180000301263993e-07,2.0,verbe,1600.0,420.0
impunément@ADV,170,ADV,impunément,3.2377594423545203e-07,4.0,adverbe,1553.0,467.0
bronchique@ADJ,380,ADJ,bronchique,7.237344635851281e-07,1.0,adjectif,1560.0,460.0
emphysème@NOUN,156,NOUN,emphysème,2.971120429454736e-07,1.0,substantif,1628.0,392.0
zibeline@NOUN,131,NOUN,zibeline,2.4949793349908364e-07,3.0,substantif,1534.0,486.0
puériculture@NOUN,181,NOUN,puériculture,3.4472615239186365e-07,2.0,substantif,1863.0,157.0
motricité@NOUN,405,NOUN,motricité,7.713485730315181e-07,1.0,substantif,1855.0,165.0
lyophiliser@VERB,106,VERB,lyophiliser,2.0188382405269363e-07,1.0,verbe,1953.0,67.0
morbidité@NOUN,294,NOUN,morbidité,5.599419270895465e-07,3.0,substantif,1849.0,171.0
électrocution@NOUN,204,NOUN,électrocution,3.8853113308254244e-07,1.0,substantif,1889.0,131.0
rho@NOUN,130,NOUN,rho,2.4759336912122804e-07,1.0,substantif,1832.0,188.0
kimono@NOUN,360,NOUN,kimono,6.856431760280161e-07,1.0,substantif,1544.0,476.0
arboricole@ADJ,397,ADJ,arboricole,7.561120580086733e-07,2.0,adjectif,1863.0,157.0
éthanol@NOUN,1175,NOUN,éthanol,2.23786314398033e-06,1.0,substantif,1910.0,110.0
spiritisme@NOUN,625,NOUN,spiritisme,1.1903527361597501e-06,1.0,substantif,1856.0,164.0
spirite@NOUN,159,NOUN,spirite,3.0282573607904047e-07,1.0,substantif,1848.0,172.0
rotary@NOUN,373,NOUN,rotary,7.104025129401389e-07,1.0,substantif,1931.0,89.0
inactiver@VERB,310,VERB,inactiver,5.90414957135236e-07,1.0,verbe,1911.0,109.0
recombiner@VERB,241,VERB,recombiner,4.5900001506319964e-07,1.0,verbe,1789.0,231.0
vaccinal@ADJ,289,ADJ,vaccinal,5.504191052002685e-07,1.0,adjectif,1812.0,208.0
immuniser@VERB,534,VERB,immuniser,1.0170373777748906e-06,1.0,verbe,1894.0,126.0
ratissage@NOUN,200,NOUN,ratissage,3.8091287557112005e-07,1.0,substantif,1765.0,255.0
flasque@ADJ,176,ADJ,flasque,3.3520333050258567e-07,12.0,adjectif,1540.0,480.0
explicable@ADJ,184,ADJ,explicable,3.5043984552543045e-07,1.0,adjectif,1554.0,466.0
excrétion@NOUN,432,NOUN,excrétion,8.227718112336193e-07,1.0,substantif,1534.0,486.0
dancing@NOUN,298,NOUN,dancing,5.675601846009689e-07,1.0,substantif,1920.0,100.0
exubérer@VERB,173,VERB,exubérer,3.294896373690188e-07,1.0,verbe,1545.0,475.0
reproductible@ADJ,257,ADJ,reproductible,4.894730451088892e-07,2.0,adjectif,1798.0,222.0
mathématiquement@ADV,683,ADV,mathématiquement,1.300817470075375e-06,2.0,adverbe,1552.0,468.0
pulpe@NOUN,997,NOUN,pulpe,1.8988506847220335e-06,8.0,substantif,1503.0,517.0
akène@NOUN,420,NOUN,akène,7.999170386993522e-07,1.0,substantif,1790.0,230.0
labre@NOUN,209,NOUN,labre,3.980539549718205e-07,4.0,substantif,1797.0,223.0
bungalow@NOUN,260,NOUN,bungalow,4.951867382424561e-07,1.0,substantif,1676.0,344.0
interrogateur@NOUN,131,NOUN,interrogateur,2.4949793349908364e-07,3.0,substantif,1530.0,490.0
diacritique@ADJ,387,ADJ,diacritique,7.370664142301173e-07,4.0,adjectif,1635.0,385.0
amarante@NOUN,242,NOUN,amarante,4.609045794410553e-07,4.0,substantif,1544.0,476.0
stradivarius@NOUN,143,NOUN,stradivarius,2.7235270603335086e-07,2.0,substantif,1828.0,192.0
envolée@NOUN,445,NOUN,envolée,8.475311481457421e-07,2.0,substantif,1856.0,164.0
mycose@NOUN,135,NOUN,mycose,2.5711619101050603e-07,1.0,substantif,1832.0,188.0
prospecteur@NOUN,712,NOUN,prospecteur,1.3560498370331875e-06,1.0,substantif,1846.0,174.0
rentabiliser@VERB,549,VERB,rentabiliser,1.0456058434427245e-06,1.0,verbe,1962.0,58.0
échinoderme@NOUN,456,NOUN,échinoderme,8.684813563021538e-07,1.0,substantif,1830.0,190.0
charleston@NOUN,137,NOUN,charleston,2.609253197662172e-07,2.0,substantif,1929.0,91.0
mambo@NOUN,143,NOUN,mambo,2.7235270603335086e-07,2.0,substantif,1948.0,72.0
électrotechnique@ADJ,590,ADJ,électrotechnique,1.123692982934804e-06,2.0,adjectif,1907.0,113.0
mousqueton@NOUN,262,NOUN,mousqueton,4.989958669981673e-07,3.0,substantif,1620.0,400.0
décadent@ADJ,295,ADJ,décadent,5.61846491467402e-07,2.0,adjectif,1516.0,504.0
contracte@ADJ,360,ADJ,contracte,6.856431760280161e-07,2.0,adjectif,1532.0,488.0
aquarelle@ADJ,484,ADJ,aquarelle,9.218091588821106e-07,1.0,adjectif,1970.0,50.0
ouléma@NOUN,634,NOUN,ouléma,1.2074938155604506e-06,1.0,substantif,1765.0,255.0
islamiser@VERB,336,VERB,islamiser,6.399336309594817e-07,1.0,verbe,1862.0,158.0
patate@NOUN,701,NOUN,patate,1.3350996288767757e-06,7.0,substantif,1516.0,504.0
taro@NOUN,367,NOUN,taro,6.989751266730053e-07,2.0,substantif,1806.0,214.0
cotonnade@NOUN,144,NOUN,cotonnade,2.7425727041120646e-07,1.0,substantif,1565.0,455.0
concentrationnaire@ADJ,319,ADJ,concentrationnaire,6.075560365359365e-07,1.0,adjectif,1946.0,74.0
potasse@NOUN,626,NOUN,potasse,1.1922573005376058e-06,5.0,substantif,1577.0,443.0
orientable@ADJ,584,ADJ,orientable,1.1122655966676706e-06,1.0,adjectif,1918.0,102.0
fakir@NOUN,117,NOUN,fakir,2.2283403220910523e-07,3.0,substantif,1653.0,367.0
dissymétrie@NOUN,220,NOUN,dissymétrie,4.1900416312823205e-07,1.0,substantif,1846.0,174.0
phonologique@ADJ,478,ADJ,phonologique,9.103817726149769e-07,1.0,adjectif,1846.0,174.0
